% Module: Scope, ID: c0p1t8p1cfm0
% Device: DEV7225
% Time: 2026/04/10 00:44:11
% Wave Channel 1, /dev7225/scopes/0/wave.0BWN
% Frequency (Hz); Wave Channel 1  Spectral Density (V/√Hz)
0; 0.243824899197
0.4470339831657731; 0.171524733305
0.8940679663315462; 0.00213110353798
1.341101949497319; 0.00122119509615
1.788135932663092; 0.000731726235244
2.235169915828866; 0.000518231943715
2.682203898994639; 0.000698958523571
3.129237882160412; 0.000449662446044
3.576271865326185; 0.000359735888196
4.023305848491958; 0.000287891074549
4.470339831657731; 0.000513994018547
4.917373814823504; 0.00011579922284
5.364407797989277; 0.000207011238672
5.81144178115505; 2.88813243969e-05
6.258475764320823; 0.000491847633384
6.705509747486596; 0.000362267426681
7.152543730652369; 0.000173676176928
7.599577713818142; 0.000236793624936
8.046611696983916; 4.1218354454e-05
8.493645680149688; 0.000353617448127
8.940679663315462; 0.000205306452699
9.387713646481235; 0.000335824530339
9.834747629647008; 9.93786161416e-05
10.28178161281278; 0.000295764562907
10.72881559597855; 0.000535896804649
11.17584957914433; 0.000627584406175
11.6228835623101; 0.000258845975623
12.06991754547587; 0.000300024927128
12.51695152864165; 0.000163914854056
12.96398551180742; 4.7116096539e-05
13.41101949497319; 0.000238246517256
13.85805347813896; 0.000365159648936
14.30508746130474; 0.000188963022083
14.75212144447051; 0.000228340024478
15.19915542763628; 0.000405755767133
15.64618941080206; 0.000311224226607
16.09322339396783; 0.000189637110452
16.5402573771336; 0.00032368049142
16.98729136029938; 2.47518764809e-05
17.43432534346515; 0.000135136244353
17.88135932663092; 9.78999159997e-05
18.3283933097967; 0.000127065912238
18.77542729296247; 0.000337599049089
19.22246127612824; 0.000357381970389
19.66949525929402; 0.000223050126806
20.11652924245979; 0.00012327132572
20.56356322562556; 0.000188998688827
21.01059720879134; 9.32443799684e-05
21.45763119195711; 0.000238183551119
21.90466517512288; 0.000279342755675
22.35169915828865; 0.000431487249443
22.79873314145443; 0.000152359934873
23.2457671246202; 9.00629820535e-05
23.69280110778598; 8.06118187029e-05
24.13983509095175; 0.000385433464544
24.58686907411752; 5.84631015954e-05
25.03390305728329; 0.000200849841349
25.48093704044907; 0.000282451510429
25.92797102361484; 0.0003517412988
26.37500500678061; 0.000228568809689
26.82203898994639; 0.000230313642533
27.26907297311216; 5.63671819691e-05
27.71610695627793; 0.000204685216886
28.1631409394437; 0.000161985240993
28.61017492260948; 0.000266102375463
29.05720890577525; 0.000139002702781
29.50424288894103; 0.000241363130044
29.9512768721068; 0.000419793388573
30.39831085527257; 0.000307783659082
30.84534483843834; 0.000112009664008
